model,MAE,RMSE,sMAPE,rMAE,MAE_benchmark,rMAE_benchmark,MAE ratio
naive,29.182814306358377,48.732181560176855,45.89834552650018,0.8076220972102334,7.750130494505495,0.849106094350729,3.765461023791499
SARIMAX,41.391254954572005,56.50394435538778,50.177165692466716,1.1454855512441606,4.3506856017598565,0.4766621235187312,9.513731568612819
LEAR-LASSO,39.2667062099922,65.31443595103997,49.71736982832074,1.0866895593733878,3.898804600831041,0.4271539362589183,10.071473241214088
LightGBM,66.05819026306035,77.34876869961296,92.49665326842282,1.8281325987994743,3.967817936768748,0.4347150533494919,16.648493281638782
LSTM,54.92862906425675,67.50620164580653,79.16266968004722,1.5201266792179282,3.873351581186241,0.424365297523693,14.181162725082258
Ensemble (static),44.433109377033134,55.5191028355438,61.6951416809724,1.2296675914780602,3.574236485149881,0.3915941782326259,12.43149678585688
Ensemble (regime-aware),42.17132803916874,53.37527637925674,59.404371322181206,1.1670737453760065,3.5569248528939683,0.3896975117878382,11.856120042811
