date,auction_name,eua_price_eur_t
2013-05-30 00:00:00,EU,3.65
2013-05-31 00:00:00,DE,3.96
2013-06-03 00:00:00,EU,3.8
2013-06-04 00:00:00,EU,3.9
2013-06-06 00:00:00,EU,3.9
2013-06-07 00:00:00,DE,4.12
2013-06-10 00:00:00,EU,4.14
2013-06-11 00:00:00,EU,3.97
2013-06-13 00:00:00,EU,4.55
2013-06-14 00:00:00,DE,4.4
2013-06-17 00:00:00,EU,4.65
2013-06-18 00:00:00,EU,4.63
2013-06-20 00:00:00,EU,4.3
2013-06-21 00:00:00,DE,4.33
2013-06-24 00:00:00,EU,4.19
2013-06-25 00:00:00,EU,4.04
2013-06-27 00:00:00,EU,4.31
2013-06-28 00:00:00,DE,4.31
2013-07-01 00:00:00,EU,4.06
2013-07-02 00:00:00,EU,4.23
2013-07-04 00:00:00,EU,4.55
2013-07-05 00:00:00,DE,4.4
2013-07-08 00:00:00,EU,4.16
2013-07-09 00:00:00,EU,4.2
2013-07-11 00:00:00,EU,4.06
2013-07-12 00:00:00,DE,3.95
2013-07-15 00:00:00,EU,3.99
2013-07-16 00:00:00,EU,4.11
2013-07-18 00:00:00,EU,4.1
2013-07-19 00:00:00,DE,4.06
2013-07-22 00:00:00,EU,4.1
2013-07-23 00:00:00,EU,4.26
2013-07-25 00:00:00,EU,4.3
2013-07-26 00:00:00,DE,4.28
2013-07-29 00:00:00,EU,4.24
2013-07-30 00:00:00,EU,4.33
2013-08-01 00:00:00,EU,4.36
2013-08-02 00:00:00,DE,4.3
2013-08-05 00:00:00,EU,4.4
2013-08-06 00:00:00,EU,4.39
2013-08-08 00:00:00,EU,4.43
2013-08-09 00:00:00,DE,4.48
2013-08-12 00:00:00,EU,4.4
2013-08-13 00:00:00,EU,4.28
2013-08-16 00:00:00,DE,4.33
2013-08-19 00:00:00,EU,4.31
2013-08-20 00:00:00,EU,4.28
2013-08-22 00:00:00,EU,4.43
2013-08-23 00:00:00,DE,4.49
2013-08-27 00:00:00,EU,4.44
2013-08-29 00:00:00,EU,4.57
2013-08-30 00:00:00,DE,4.54
2013-09-02 00:00:00,EU,4.49
2013-09-03 00:00:00,EU,4.38
2013-09-05 00:00:00,EU,4.75
2013-09-06 00:00:00,DE,5.05
2013-09-09 00:00:00,EU,5.38
2013-09-10 00:00:00,EU,5.13
