feature_group,hourly_all,hourly_calm,hourly_stressed,daily_all,daily_calm,daily_stressed
price_D-1,3.765014786260423,3.4832680304974026,6.147055539529583,3.32480192903415,3.1108686829146825,5.133510282589644
price_D-2,0.902694702968022,0.8610258603488138,1.2549858269304164,0.39256793445065175,0.3777725232817273,0.5176564106970135
price_D-3,0.8493320042607215,0.8279434815867627,1.0301622414132832,0.3390056617833283,0.3327847515232202,0.39160063034606096
price_D-7,1.7879058042984353,1.7453970862355712,2.1472976933753745,1.122338807936744,1.0802298680859659,1.4783507539478646
exog_1_D-1,0.6606585359320819,0.6591443013497956,0.6734607010368664,0.24930204811393478,0.24791026561048302,0.2610689365522085
exog_1_D-7,0.7168639686021466,0.7130993148397461,0.7486924049569872,0.37300983546720573,0.36992915491316186,0.39905558924230355
exog_1_D0,3.5036956096329583,3.519744927285792,3.368005924022641,3.3942269085270875,3.4393224298088225,3.0129647740542294
exog_2_D-1,0.9869828389312,0.9946593613605242,0.9220813311196417,0.4067047385251493,0.40765752917602527,0.39864932665865294
exog_2_D-7,0.6848014714272322,0.67400014440692,0.7761217816898757,0.22857408777068877,0.22303422098525932,0.27541114332022837
exog_2_D0,5.856362404135837,5.842205243026618,5.976054766241055,4.550391974333292,4.492884597625451,5.036590704681404
dow,0.1452766555331108,0.14639664718794423,0.13580763517861025,0.039368334885969525,0.03954771692419284,0.0378517412900815
