feature,shap_value,feature_value
exog_1_D-7_h15,0.007819643761275022,25709.0
exog_1_D-7_h16,0.015115889784650453,25541.0
exog_1_D-7_h17,0.02415342838646574,26854.5
exog_1_D-7_h18,0.008891809775130908,27053.0
exog_1_D-7_h19,0.01890019416566187,26203.25
exog_1_D-7_h20,0.009946546398514746,24701.0
exog_1_D-7_h21,0.02569500563604428,23755.0
exog_1_D-7_h22,0.02632064407225184,22666.25
exog_1_D-7_h23,-0.01304997056378141,21106.0
exog_1_D0_h00,-0.02341912563110365,20825.25
exog_1_D0_h01,-0.010301915450334665,20168.75
exog_1_D0_h02,-0.010576851705066824,19947.75
exog_1_D0_h03,-0.029601314189392134,20025.25
exog_1_D0_h04,-0.04048074369969076,20303.0
exog_1_D0_h05,-0.01124445107141774,20949.0
exog_1_D0_h06,0.16833400563631873,23398.0
exog_1_D0_h07,0.977549981271223,25712.5
exog_1_D0_h08,0.24984641268886626,26826.5
exog_1_D0_h09,0.09231387727525435,26711.5
exog_1_D0_h10,0.19935164202085953,26836.5
exog_1_D0_h11,0.024609901687493878,26962.25
exog_1_D0_h12,0.013871103808021113,27191.75
exog_1_D0_h13,0.3060301323532787,27015.5
exog_1_D0_h14,0.35160636434644227,26560.25
exog_1_D0_h15,0.26530386254124466,26316.5
exog_1_D0_h16,0.24339560260337348,26071.5
exog_1_D0_h17,0.3083308048177189,27106.5
exog_1_D0_h18,0.10718923878235356,27327.75
exog_1_D0_h19,0.18579946121052504,26774.75
exog_1_D0_h20,0.23622636244135115,25305.75
exog_1_D0_h21,0.14169229443197637,24131.0
exog_1_D0_h22,0.05190396401256708,23043.5
exog_1_D0_h23,0.002765870201784453,21700.5
exog_2_D-1_h00,-0.012710259264271896,1903.8665
exog_2_D-1_h01,-0.0017133678094145366,2044.5975
exog_2_D-1_h02,-0.01229075693917559,2162.245
exog_2_D-1_h03,-0.00042509025889362,2274.2155
exog_2_D-1_h04,0.006379545020692341,2389.282
exog_2_D-1_h05,-0.003074937360351223,2490.433
exog_2_D-1_h06,-0.0009618753012434753,2644.2695
