model,MAE,RMSE,sMAPE,rMAE,MAE vs benchmark
naive,29.182814306358377,48.732181560176855,45.89834552650018,0.8076220972102334,3.765461023791499
LEAR-LASSO,39.2667062099922,65.31443595103997,49.71736982832074,1.0866895593733878,10.071473241214088
SARIMAX,41.391254954572005,56.50394435538778,50.17716569246672,1.1454855512441606,9.51373156861282
Ensemble (regime-aware),42.17132803916874,53.37527637925674,59.404371322181206,1.1670737453760065,11.856120042811
Ensemble (static),44.433109377033134,55.5191028355438,61.6951416809724,1.2296675914780602,12.43149678585688
LSTM,54.92862906425675,67.50620164580653,79.16266968004722,1.5201266792179282,14.181162725082258
LightGBM,66.05819026306035,77.34876869961296,92.49665326842282,1.8281325987994743,16.648493281638782
