timestamp,price,exog_1,exog_2
2026-01-04 14:00:00+00:00,93.1975,54211.075,22892.175
2026-01-04 15:00:00+00:00,100.5925,55464.55,21243.325
2026-01-04 16:00:00+00:00,118.425,57608.85,21574.925
2026-01-04 17:00:00+00:00,121.18,58900.525,21864.75
2026-01-04 18:00:00+00:00,119.715,58072.025,21892.45
2026-01-04 19:00:00+00:00,112.45,55820.6,22048.625
2026-01-04 20:00:00+00:00,99.7,53792.725,21860.475
2026-01-04 21:00:00+00:00,95.765,51999.175,20960.45
2026-01-04 22:00:00+00:00,89.21000000000001,49625.525,20214.075
2026-01-04 23:00:00+00:00,92.4525,47972.0,17004.075
2026-01-05 00:00:00+00:00,88.8475,46596.5,16606.925
2026-01-05 01:00:00+00:00,86.5075,46167.85,16395.325
2026-01-05 02:00:00+00:00,86.3125,46088.4,16461.675
2026-01-05 03:00:00+00:00,87.495,47093.8,16468.35
2026-01-05 04:00:00+00:00,90.8575,50204.825,16223.475
2026-01-05 05:00:00+00:00,109.0225,55103.475,16289.975
2026-01-05 06:00:00+00:00,129.3125,59613.675,16023.65
2026-01-05 07:00:00+00:00,151.175,62799.475,16383.25
2026-01-05 08:00:00+00:00,152.15,64599.225,18412.075
2026-01-05 09:00:00+00:00,145.6275,65770.2,20137.85
2026-01-05 10:00:00+00:00,136.57,66682.15,20831.85
2026-01-05 11:00:00+00:00,134.3025,66716.025,20034.925000000003
2026-01-05 12:00:00+00:00,134.3025,65697.275,17927.975
2026-01-05 13:00:00+00:00,140.15,64567.35,15107.05
2026-01-05 14:00:00+00:00,148.99,64327.625,12720.325
2026-01-05 15:00:00+00:00,180.7075,65498.225,12066.1
2026-01-05 16:00:00+00:00,223.425,67974.65,13043.4
2026-01-05 17:00:00+00:00,213.585,68359.725,13776.85
2026-01-05 18:00:00+00:00,182.8,66055.8,13750.85
2026-01-05 19:00:00+00:00,147.0325,62759.3,13221.8
2026-01-05 20:00:00+00:00,129.1025,59416.95,12498.525
2026-01-05 21:00:00+00:00,123.85,56905.825,11615.625
2026-01-05 22:00:00+00:00,111.3,53623.875,10768.25
2026-01-05 23:00:00+00:00,104.695,50141.875,9766.725
2026-01-06 00:00:00+00:00,104.6,48348.325,8978.5
2026-01-06 01:00:00+00:00,101.545,47413.775,8313.55
2026-01-06 02:00:00+00:00,100.0875,47539.775,7730.85
2026-01-06 03:00:00+00:00,102.4525,48220.925,7157.575000000001
2026-01-06 04:00:00+00:00,107.0,50994.3,6595.674999999999
2026-01-06 05:00:00+00:00,121.2875,54714.025,6175.275
2026-01-06 06:00:00+00:00,138.4975,58295.6,5994.7
2026-01-06 07:00:00+00:00,164.185,60456.0,6477.825000000001
2026-01-06 08:00:00+00:00,168.82,62295.1,8644.1
2026-01-06 09:00:00+00:00,154.8425,63705.425,11220.275
2026-01-06 10:00:00+00:00,147.265,65451.95,13254.925
2026-01-06 11:00:00+00:00,134.4325,65778.95,14447.675
2026-01-06 12:00:00+00:00,130.2025,64820.25,14344.65
2026-01-06 13:00:00+00:00,130.7025,63586.325,13086.95
2026-01-06 14:00:00+00:00,136.985,63341.25,11664.875
2026-01-06 15:00:00+00:00,145.0075,64761.675,11349.95
2026-01-06 16:00:00+00:00,152.9925,67093.925,12573.25
2026-01-06 17:00:00+00:00,148.26749999999998,66895.75,13624.55
2026-01-06 18:00:00+00:00,139.1175,64800.225000000006,14609.8
