member set,rung,val MAE (held-out),test MAE,test rMAE,val delta,clears 0.02 floor,DM p vs prev (raw),DM p vs prev (Holm)
frozen,rung 0: global convex,3.7459436866469864,3.574236485149881,0.3915941782326258,,,,
frozen,rung 1: per-hour convex,3.7695384382502444,3.6148413929981458,0.39604286135337524,-0.02359475160325797,False,0.9999992213797131,1.0
frozen,rung 2: per-hour unconstrained,3.7265055788182626,3.6094997579637123,0.3954576305801965,0.04303285943198176,True,0.3066725261193164,1.0
frozen,rung 3: regime-gated per-hour,3.824706692686421,3.6045352529295562,0.3949137182573104,-0.09820111386815844,False,0.338529614656354,1.0
seedens,rung 0: global convex,3.6929671048045143,3.5259766910586974,0.3863068239998182,,,,
seedens,rung 1: per-hour convex,3.7265191291870967,3.5691825346289647,0.39104046624146654,-0.033552024382582424,False,0.9999999969322849,1.0
seedens,rung 2: per-hour unconstrained,3.6792637512412947,3.571824013969355,0.3913298673305988,0.047255377945802035,True,0.5960774511301941,1.0
seedens,rung 3: regime-gated per-hour,3.749661313165426,3.5596636906400487,0.38999757948647673,-0.07039756192413149,False,0.1792979821676679,1.0
